,Address,PlanYear,Project,IDISProjectId,IDISActivityID,Status,StatusDate,InitialFundingDate,FundedAmount,Description
55,1707 EDGERLY AVE,2008,ENERGY EFFICIENCY,11,659,Completed,6/30/2009,11/24/2008,4616.42, 
56,207 INGLESIDE DR,2008,EMERGENCY REPAIRS,10,660,Canceled,3/24/2009,12/01/2008,0.0, 
57,307 S SHADOWLAWN DR,2008,EMERGENCY REPAIRS,10,661,Completed,12/11/2008,12/01/2008,6431.6, 
58,1313 MONTEGO CT,2008,EMERGENCY REPAIRS,10,662,Completed,3/4/2009,12/01/2008,5033.0, 
59,640 HARMON AVE,2008,EMERGENCY REPAIRS,10,663,Canceled,3/24/2009,12/01/2008,0.0, 
60,1106 CRAWFORD DR,2008,EMERGENCY REPAIRS,10,664,Completed,4/8/2009,12/01/2008,5385.0, 
61,1003 SWIFT ST,2008,EMERGENCY REPAIRS,10,665,Completed,4/21/2009,12/01/2008,6351.6, 
62,421 DORSETT AVE,2008,EMERGENCY REPAIRS,10,666,Completed,9/15/2009,12/01/2008,7137.18, 
63,1139 W BROAD AVE P. O. BOX 710,2008,PUBLIC SERVICE,16,667,Completed,9/29/2009,02/06/2009,39999.57, 
64,300 W OGLETHORPE BLVD,2008,PUBLIC SERVICE,16,668,Canceled,12/31/2009,02/06/2009,0.0,TO INCREASE AFFORDABILITY OF RENTAL HOUSING AT BARKLEY ESTATES FOR LOW AND MODERATE INCOME HOUSEHOLDS.
65,703 DARTMOUTH LN,2008,ENERGY EFFICIENCY,11,673,Completed,2/14/2009,02/13/2009,4975.0, 
66,612 LOUIS AVE,2008,ENERGY EFFICIENCY,11,674,Completed,6/30/2009,02/13/2009,2466.42, 
67,719 ANDOVER LN,2008,ENERGY EFFICIENCY,11,675,Completed,6/30/2009,02/13/2009,4566.42, 
68,408 ALICE AVE,2008,ENERGY EFFICIENCY,11,676,Completed,4/28/2009,02/24/2009,5000.0, 
69,1904 W OGLETHORPE AVE,2008,ENERGY EFFICIENCY,11,677,Completed,9/25/2009,02/24/2009,5000.0, 
70,243 E OGLETHORPE BLVD,2008,COMMERCIAL FACADE,18,678,Completed,6/1/2009,03/16/2009,642.0, 
71,810 W OGLETHORPE BLVD,2008,COMMERCIAL FACADE,18,679,Completed,6/1/2009,03/27/2009,1284.0, 
72,2208 STRATFORD DR,2008,EMERGENCY REPAIRS,10,680,Completed,9/15/2009,05/21/2009,5891.59, 
73,1925 S RIVERVIEW CIR,2008,EMERGENCY REPAIRS,10,681,Canceled,6/22/2009,05/21/2009,0.0, 
74,1810 DUNNING LN,2008,EMERGENCY REPAIRS,10,682,Completed,8/11/2009,05/21/2009,5053.29, 
75,612 LOUIS AVE,2008,EMERGENCY REPAIRS,10,683,Completed,10/22/2009,05/21/2009,6404.1, 
76,710 WARRIOR CT,2008,EMERGENCY REPAIRS,10,684,Completed,10/2/2009,05/21/2009,6759.77, 
77,1530 E BROAD AVE,2008,EMERGENCY REPAIRS,10,685,Completed,2/2/2011,05/21/2009,8361.17, 
78,2208 STRATFORD DR,2008,EMERGENCY REPAIRS,10,697,Canceled,6/22/2009,06/22/2009,0.0,EMERGENCY REPAIRS TO A SINGLE-FAMILY HOUSING UNIT FOR A LOW-INCOME HOMEOWNER.
79,1918 W HIGHLAND AVE,2008,EMERGENCY REPAIRS,10,698,Completed,9/15/2009,06/22/2009,7175.59,EMERGENCY REPAIRS TO A SINGLE-FAMILY HOUSING UNIT FOR A LOW-INCOME HOMEOWNER.
80,607 ROADWAY RD,2008,EMERGENCY REPAIRS,10,699,Completed,2/22/2011,06/22/2009,6376.78,EMERGENCY REPAIRS TO A SINGLE-FAMILY HOUSING UNIT FOR A LOW-INCOME HOMEOWNER.
81,1619 SUNNY LN,2008,EMERGENCY REPAIRS,10,700,Completed,9/15/2009,06/22/2009,5043.23,EMERGENCY REPAIRS TO A SINGLE-FAMILY HOUSING UNIT FOR A LOW-INCOME HOMEOWNER.
82,919 W LINCOLN AVE,2008,EMERGENCY REPAIRS,10,701,Completed,10/5/2009,07/15/2009,6613.17, 
83,412 ROSSER LN,2008,EMERGENCY REPAIRS,10,702,Completed,10/18/2009,07/15/2009,6431.77, 
84,1400 W WHITNEY AVE,2008,EMERGENCY REPAIRS,10,703,Completed,10/2/2009,07/15/2009,6116.18, 
85,706 EASTTOWN RD,2008,EMERGENCY REPAIRS,10,704,Completed,10/13/2009,07/15/2009,5781.18, 
86,1118 W WHITNEY AVE,2008,ENERGY EFFICIENCY,11,705,Completed,7/16/2009,07/15/2009,5041.42, 
0,UNKNOWN ADDRESS,1994,CONVERTED CDBG ACTIVITIES,2,34,Completed,9/25/1999,07/01/1993,6631.38,PROGRAM TO INSTALL A RAMP AND GRAB BARS FOR DISABLED PERSONSWHO QUALIFY AS LOW TO MODERATE INCOME.
1,UNKNOWN ADDRESS,1994,CONVERTED CDBG ACTIVITIES,2,35,Completed,9/26/1997,07/01/1994,200282.0,A LOW INTEREST AND DEFERRED LOAN PROGRAM FOR SINGLE UNITRESIDENTIAL REHABILITATION FOR LOW TO MODERATE HOUSEHOLDS.
2,UNKNOWN ADDRESS,1994,CONVERTED CDBG ACTIVITIES,2,38,Completed,1/4/1999,07/01/1993,100000.0,A LONG-TERM FIXED ASSET LOAN PROGRAM FOR BUSINESSES AND INDUSTRIES THAT ARE LOCATED IN THE CITY OF ALBANY AND PROVIDES JOBS TO LOW AND MODERATE INCOME PERSONS.
3,UNKNOWN ADDRESS,1994,CONVERTED CDBG ACTIVITIES,2,40,Completed,2/23/1998,07/01/1993,0.0,PROVIDE EMPLOYMENT OPPORTUNITIES FOR ECONOMICALLY DISADVANTAGE.
4,722 BONNY VIEW AVE,1994,CONVERTED CDBG ACTIVITIES,2,44,Completed,10/29/1997,07/01/1993,191.79,CREATED TO DEVELOP AFFORDABLE HOUSING.
5,230 S JACKSON ST,1994,CONVERTED CDBG ACTIVITIES,2,48,Completed,9/26/1997,07/01/1994,35000.0, 
6,UNKNOWN ADDRESS,1994,CONVERTED CDBG ACTIVITIES,2,62,Completed,7/1/1998,07/01/1994,0.0, 
7,UNKNOWN ADDRESS,1994,CONVERTED CDBG ACTIVITIES,2,63,Completed,7/1/1998,07/01/1994,0.0,THE DESIGN AND PARTIAL IMPLEMENTATION OF A STREET SCAPE PLAN FOR THE AREA.
8,UNKNOWN ADDRESS,1994,CONVERTED CDBG ACTIVITIES,2,65,Completed,1/4/1999,07/01/1994,18214.0, 
9,400 W HIGHLAND AVE,1994,CONVERTED CDBG ACTIVITIES,2,66,Completed,7/1/1998,07/01/1994,16084.23, 
10,322 SOUTH JACKSON AND 1219 NEWTON RD.,1995,ACQUISITION,1,99,Completed,7/13/1998,07/01/1995,17156.17,THE ACQUISITION OF PROPERTIES
11,UNKNOWN ADDRESS,1995,DISPOSITION,2,100,Completed,1/7/1999,07/01/1995,12187.47, 
12,UNKNOWN ADDRESS,1995,DEMOLITION,3,102,Completed,7/1/1998,07/01/1995,0.0,DEMOLISH ABANDONED HOMES
13,"200-300 SOUTH WASHINGTON, 200-300 WHITNEY 300 SOUTH JACKSON 200-300 HIGHLAND",1995,PUBLIC FACILITIES,4,103,Completed,7/1/1998,07/01/1995,0.0,IMPLEMENT THE STREET SCAPE PLAN FOR THE HARLEM BUSINESS DISTRICT.
14,200 WHITNEY AVE,1995,RELOCATION,37,104,Completed,7/1/1998,07/01/1995,7015.45, 
15,UNKNOWN ADDRESS,1995,PUBLIC SERVICE,5,105,Completed,9/19/2001,07/01/1995,48271.78,PARTENTING AND SOCIAL SKILL CLASSES BY ASU SCHOOL OF SOCIAL WORK- INCORPORATE PARENTING AND SOCIAL SKILL CLASSES TO BECOME CERTIFIED CHILD CARE PROVIDERS.
16,ADDRESS SUPPRESSED,1995,PUBLIC SERVICE,8,107,Completed,10/29/1997,07/01/1995,2073.59, 
17,400 W HIGHLAND AVE,1995,PUBLIC SERVICE,13,108,Completed,10/29/1997,07/01/1995,6251.0, 
18,714 W BROAD AVE,1995,PUBLIC SERVICE,15,109,Completed,7/1/1998,07/01/1995,4255.94,TO PROVIDE A SENIOR ADULT PROGRAM FOR LOW AND MODERATEINCOME SENIOR ADULTS.
19,UNKNOWN ADDRESS,1995,REHABILITATION,16,110,Completed,1/4/1999,07/01/1995,28514.0,THE REHABILITATION OF RENTAL HOUSING BY INVESTORS
20,UNKNOWN ADDRESS,1995,ECONOMIC DEVELOPMENT,20,111,Completed,7/1/1998,07/01/1995,40238.62,CREATE AN APPRENTICESHIP PROGRAM TO PROVIDE JOB TRAININGIN TRADITIONAL CRAFTSKILLS JOBS.
21,UNKNOWN ADDRESS,1995,ECONOMIC DEVELOPMENT,21,112,Completed,7/13/1998,07/01/1995,16587.6,ESTABLISH A NON-PROFIT ORGANIZATION TO COORDINATE BUSINESSASSISTANCE PROGRAMS FOR SMALL AND MINORITY BUSINESS
22,UNKNOWN ADDRESS,1995,ECONOMIC DEVELOPMENT,22,113,Completed,7/1/1998,07/01/1995,0.0,MICRO-BUSINESS LOW-INTEREST LOANS NEEDED BY SMALL BUSINESSESIN THE ENTERPRISE COMMUNITY TARGET AREA.
23,230 S JACKSON ST,1995,ECONOMIC DEVELOPMENT,23,114,Completed,1/4/1999,07/01/1995,57183.2,CITY OF ALBANY BUSINESS AND TECHNOLOGY CENTER PROVIDESTECHNICAL AND OTHER FORMS OF SUPPORT TO BUSINESS LOCATEDIN THE CENTER
24,230 S JACKSON ST,1995,ADMINISTRATION,25,115,Completed,2/26/1998,07/01/1995,8530.0, 
25,UNKNOWN ADDRESS,1995,ADMINISTRATION,26,116,Completed,1/4/1999,07/01/1995,3850.17, 
26,UNKNOWN ADDRESS,1995,ADMINISTRATION,28,117,Completed,1/4/1999,07/01/1995,659.27, 
27,129 WHITTLESEY CT,1995,PUBLIC SERVICE,31,118,Completed,7/1/1998,07/01/1995,2020.74, 
28,2117 S MADISON ST,1995,PUBLIC SERVICE,32,119,Completed,7/1/1998,07/01/1995,1846.93, 
29,302 ADKINS ST,1995,PUBLIC SERVICE,34,120,Completed,7/1/1998,07/01/1995,13818.27,PROVIDE AFFORDABLE HOUSING FOR LOW AND MODERATE INCOMEPERSONS AND COMMUNITY DEVELOPMENT OUTREACH
30,230 S JACKSON ST,1994,CONVERTED CDBG ACTIVITIES,2,124,Completed,8/29/1997,07/01/1994,18091.22,INDIRECT COST THE FUNDS HAVE BEEN SPENT
31,314 N JEFFERSON ST,1995,ALBANY OUTREACH,40,125,Completed,9/26/1997,07/01/1995,252.0,A EMERGENCY RENTAL HOUSING PROGRAM
32,UNKNOWN ADDRESS,1995,HAVN,41,126,Completed,7/1/1998,07/01/1995,15625.0,TO PROVIDE NEEDED SERVICES FOR PERSONS WITH HIV AND AIDS.
33,UNKNOWN ADDRESS,1995,REHABILITATION,42,127,Completed,1/4/1999,07/01/1995,70000.0,THE REHABILITATION OF LOW AND MODERATE INCOME SINGLE FAMILY HOMES IN THE ENTERPRISE COMMUNITY TARGET AREA
34,230 S JACKSON ST,1995,ADMINISTRATION,27,128,Completed,1/7/1999,07/01/1995,2966.0, 
35,230 S JACKSON ST,1998,ECONOMIC DEVELOPMENT,5,221,Completed,8/3/2000,07/01/0098,40000.0, 
0,SANDS DRIVE,2005,HOUSING,6,466,Canceled,1/10/2012,09/28/2006,0.0, 
1,525 5TH AVE,2006,PUBLIC FACILITIES,8,523,Completed,8/16/2011,08/22/2007,15016.43, 
2,PO BOX 448,2007,PUBLIC SERVICE,15,539,Completed,8/6/2010,10/04/2007,14950.95,DAYCARE SERVICES FOR SENIORS DIAGNOSED WITH ALZEHEIMERS AND OR DEMENTIA.
3,400 EBONY LN,2007,PUBLIC FACILITIES,11,546,Completed,11/29/2010,10/04/2007,46642.04,Drainage and street improvements made to the 400 block of Ebony Lane which is located in the NRSA of South Albany Redevelopment Area.
4,HICKORY LANE,2007,PUBLIC FACILITIES,11,547,Canceled,11/29/2010,10/04/2007,0.0,THE IMPROVEMENT OF THE DRAINAGE AND STREET ON THE 400 & 500 BLOCK OF HICKORY LANE
5,801 W RESIDENCE AVE,2007,PUBLIC SERVICE,15,572,Completed,11/24/2010,02/27/2008,18572.87,MENTORING PROGRAM FOR FRESHMEN MALES.
6,305 S SHADOWLAWN DR,2007,ENERGY EFFICIENCY,5,617,Completed,2/22/2011,06/03/2008,5000.0,MAKE A SINGLE-FAMILY HOUSING UNIT MORE ENERGY EFFICIENT
7,908 S JEFFERSON ST,2007,AFFORDABLE HOUSING OPPORTUNITY PROGRAM,17,639,Canceled,11/29/2010,08/23/2008,0.0, 
8,230 S JACKSON ST,2008,ECONOMIC DEVELOPMENT,4,645,Completed,11/24/2010,11/13/2008,335876.73,TO PROVIDE TECHNICAL ASSISTANCE AND OPERATE THE CITY OF ALBANY INCUBATOR FOR MICRO-BUSINESSES.
9,230 S JACKSON ST STE 315,2008,SECTION 3 TRAINING PROGRAM,17,655,Canceled,8/10/2011,07/28/2009,0.0,TO PROVIDE TRAINING AND EMPLOYMENT OPPORTUNITIES TO HOUSEHOLDS WHICH ARE EXTREMELY LOW AND LOW INCOME.
10,1530 E BROAD AVE,2008,EMERGENCY REPAIRS,10,685,Completed,2/2/2011,05/21/2009,8361.17, 
11,607 ROADWAY RD,2008,EMERGENCY REPAIRS,10,699,Completed,2/22/2011,06/22/2009,6376.78,EMERGENCY REPAIRS TO A SINGLE-FAMILY HOUSING UNIT FOR A LOW-INCOME HOMEOWNER.
12,230 S JACKSON ST STE 315,2009,ADMINISTRATION,1,708,Completed,2/14/2011,10/30/2009,446668.8, 
13,230 S JACKSON ST STE 315 SUITE 315,2009,DISPOSITION,3,712,Completed,11/29/2010,11/02/2009,64503.24,THE MAINTENANCE AND READYING OF PROPERTIES FOR SALE.
14,230 S JACKSON ST,2009,ECONOMIC DEVELOPMENT,4,713,Completed,10/5/2010,10/30/2009,285639.1, 
15,230 S JACKSON ST STE 154,2009,ECONOMIC DEVELOPMENT,4,714,Completed,10/5/2010,04/23/2010,50000.0,SMALL BUSINESS LOANS; CREATION OF JOBS FOR LOWMODERATE INCOME PERSONS.
16,831 ODOM AVE,2009,RELOCATION,11,717,Completed,11/29/2010,11/02/2009,385.0,CONTINUED RELOCATION PAYMENTS FOR INDIVIDUALS WHO WERE RELOCATED IN PAST YEARS.
17,230 S JACKSON ST SUITE 315,2009,ACQUISITION,12,718,Completed,11/29/2010,11/02/2009,119951.28,TO ACQUIRE FORECLOSED PROPERTIES WHEN WARRANTED TO PROVIDE FOR LOW AND MODERATE INCOME HOUSEHOLDS.
18,230 S JACKSON ST STE 315,2009,PUBLIC SERVICE,15,720,Completed,10/2/2010,11/02/2009,75000.0, 
19,230 S JACKSON ST SUITE 315,2009,PUBLIC SERVICE,15,721,Canceled,3/18/2011,01/21/2010,0.0,TO PROVIDE JOB TRAINING SKILLS TO VERY LOW AND LOW INCOME PERSONS TO ASSIST IN OBTAINING EMPLOYMENT.
20,230 S JACKSON ST STE 315,2009,PUBLIC SERVICE,15,722,Completed,9/30/2010,11/02/2009,42904.65,TO PROVIDE TECHNICAL ASSISTANCE TO 13 SUBRECIPIENTS OF PUBLIC SERVICE GRANTS TO INCREASE CAPACITY.
21,611 JEFFERIES AVE,2008,EMERGENCY REPAIRS,10,724,Completed,11/30/2010,09/22/2009,6869.14, 
22,1908 EDGERLY AVE,2008,EMERGENCY REPAIRS,10,725,Canceled,1/31/2011,09/22/2009,0.0,Emergency repairs to a single family housing unit for a low-income homeowner.
23,1128 MARY AVE,2009,ENERGY EFFICIENCY,7,736,Completed,2/22/2011,11/02/2009,5350.0, 
24,1910 JONES AVE,2009,LEAD,18,740,Completed,6/30/2010,11/02/2009,18973.28,The testing of lead-based paint hazards on owner-occupied housing units of low and moderate income households.
25,320 W 2ND AVE P. O. BOX 467,2009,PUBLIC SERVICE,15,743,Completed,10/31/2010,12/14/2009,10000.0, 
26,302 S. CASON AVE. P. O. BOX 1694,2009,PUBLIC SERVICE,15,744,Completed,10/31/2010,12/14/2009,8377.52,To provide an afterschool program for low and moderate income youth from ages 4-13; and to implement a summer camp program.
27,802 N JEFFERSON ST,2009,PUBLIC SERVICE,15,745,Completed,12/31/2010,12/14/2009,24595.0,Provide health care services andor medication services to homeless and low-income persons.
28,PO BOX 306 701 WILLARD AVENUE,2009,PUBLIC SERVICE,15,746,Completed,10/31/2010,02/19/2010,13190.3,To provide tutoring and an after-school program to low and moderate income youth in South Albany; and to develop and implement the 2010 Summer Program Fair.
29,PO BOX 71562,2009,PUBLIC SERVICE,15,747,Completed,10/23/2010,12/14/2009,23080.0, 
30,406 W HIGHLAND AVE,2009,PUBLIC SERVICE,15,748,Completed,10/31/2010,12/14/2009,12374.92, 
31,PO BOX 665 504 COLLEGE DR.,2009,PUBLIC SERVICE,15,749,Completed,10/31/2010,12/14/2009,10628.83, 
32,302 ADKINS ST,2009,PUBLIC SERVICE,15,750,Completed,10/31/2010,12/14/2009,24926.79, 
33,230 S JACKSON ST STE. 154,2009,PUBLIC SERVICE,15,751,Completed,10/31/2010,01/07/2010,10001.83, 
34,1338 MOBILE AVE,2009,PUBLIC SERVICE,15,752,Completed,10/31/2010,01/12/2010,11115.0,Provide tuition assistance and transportation for low and moderate income families for day care for their children.
35,835 W BROAD AVE,2009,PUBLIC SERVICE,15,753,Completed,12/20/2010,01/21/2010,11866.43,Provide basic computer training for senior citizens in the community.
36,PO BOX 467,2009,PUBLIC SERVICE,15,754,Completed,10/31/2010,01/22/2010,15000.0, 
37,608 WILLARD AVE,2010,REHABILITATION,19,755,Canceled,10/21/2011,02/11/2010,0.0, 
38,910 W MERCER AVE,2009,EMERGENCY REPAIRS,6,758,Completed,2/22/2011,02/11/2010,6218.72,Emergency repairs to a single family housing unit for a low income homeowner.
39,903 DON CUTLER SR DR,2009,EMERGENCY REPAIRS,6,759,Canceled,1/31/2011,02/11/2010,0.0,Emergency repairs to a single family housing unit for a low income homeowner.
40,912 JEFFERIES AVE,2009,EMERGENCY REPAIRS,6,766,Canceled,1/31/2011,02/18/2010,0.0, 
41,225 S JACKSON ST,2009,PUBLIC FACILITIES,19,770,Completed,4/23/2013,03/23/2010,89595.68, 
42,1400 S JEFFERSON ST,2009,PUBLIC FACILITIES,19,771,Completed,11/20/2013,03/23/2010,200948.09, 
43,PO BOX 44,2009,PUBLIC SERVICE,15,774,Completed,10/31/2010,04/14/2010,10000.0,To expand the service of assessing individuals served to determine needs; and to enhance the services of the soup kitchen.
44,230 S JACKSON ST SUITE 315,2009,PUBLIC FACILITIES,19,775,Completed,8/16/2011,04/15/2010,56071.1,To develop a walking trail within the East Albany Strategic Planning Area between the 1100 and 1200 blocks (eastern boundary)of Netherland Avenue.
45,1910 JONES AVE,2009,ENERGY EFFICIENCY,7,776,Completed,2/14/2011,04/16/2010,4427.5,TO MAKE A HOUSING UNIT OF A LOW AND MODERATE INCOME HOUSEHOLD MORE ENERGY EFFICIENT.
46,HABERSHAM RD,2009,PUBLIC FACILITIES,19,780,Completed,8/21/2011,05/20/2010,2000.0,Beautification projects conducted in low to moderate income neighborhoods identified in City's consolidated plan.
47,1918 W HIGHLAND AVE,2009,ENERGY EFFICIENCY,7,786,Completed,7/31/2010,07/02/2010,5595.0, 
48,706 JOHNNY W WILLIAMS RD,2009,ENERGY EFFICIENCY,7,787,Completed,7/31/2010,07/02/2010,5110.0, 
49,1519 MALONE DR,2009,ENERGY EFFICIENCY,7,788,Completed,7/13/2010,07/02/2010,4902.0, 
50,231 E OGLETHORPE BLVD,2009,COMMERCIAL FACADE,14,789,Completed,10/5/2010,08/06/2010,900.0, 
51,1602 ESTELLE ST,2009,ENERGY EFFICIENCY,7,800,Completed,11/30/2010,07/15/2010,5083.53, 
52,1910 JONES AVE,2009,ENERGY EFFICIENCY,7,801,Canceled,9/15/2010,08/09/2010,0.0, 
53,616 INDIAN CREEK DR,2009,ENERGY EFFICIENCY,7,802,Completed,6/2/2011,07/15/2010,4146.86, 
54,2107 COLQUITT AVE,2009,ENERGY EFFICIENCY,7,803,Completed,3/3/2011,07/15/2010,3832.5, 
55,2207 OXFORD RD,2009,ENERGY EFFICIENCY,7,804,Completed,2/14/2011,07/15/2010,4793.83,WORK WAS DONE TO MAKE A HOUSING UNIT OF A LOW AND MODERATE INCOME HOUSEHOLD MORE ENERGY EFFICIENT.
56,700 COLQUITT CIR,2009,ENERGY EFFICIENCY,7,805,Completed,3/1/2011,07/15/2010,3567.33,WORK WAS DONE TO MAKE A HOUSING UNIT OF A LOW AND MODERATE INCOME HOUSEHOLD MORE ENERGY EFFICIENT.
57,2014 INDICA TRL,2009,ENERGY EFFICIENCY,7,806,Completed,3/3/2011,07/15/2010,5042.33,WORK WAS DONE TO MAKE A HOUSING UNIT OF A LOW AND MODERATE INCOME HOUSEHOLD MORE ENERGY EFFICIENT.
58,403 VICK ST,2010,EMERGENCY REPAIRS,4,808,Completed,10/4/2010,07/30/2010,6378.38, 
59,2010 W WADDELL AVE,2010,EMERGENCY REPAIRS,4,809,Canceled,1/31/2011,07/30/2010,0.0, 
60,2305 DERVAN ST,2010,EMERGENCY REPAIRS,4,810,Completed,9/30/2010,07/30/2010,5078.38, 
61,402 BUSH ST,2010,EMERGENCY REPAIRS,4,811,Completed,2/9/2011,07/30/2010,5503.38, 
62,1819 GREENVALE RD,2010,EMERGENCY REPAIRS,4,812,Completed,2/22/2011,07/30/2010,6752.4, 
63,607 FREEMONT ST,2010,EMERGENCY REPAIRS,4,813,Completed,3/15/2011,07/30/2010,5907.88, 
64,218 WELLS AVE,2010,EMERGENCY REPAIRS,4,815,Canceled,10/26/2010,08/12/2010,0.0, 
65,109 S BROADWAY ST,2010,COMMERCIAL FACADE,3,816,Completed,12/2/2010,09/01/2010,986.62,This activity is for the installation of a new sign for a new business.
66,2004 COLQUITT AVE,2010,EMERGENCY REPAIRS,4,817,Completed,10/12/2010,08/27/2010,6005.17, 
67,3005 HARVEST LN,2010,EMERGENCY REPAIRS,4,820,Completed,10/7/2010,09/20/2010,5087.17, 
68,3005 HARVEST LN,2010,ENERGY EFFICIENCY,5,821,Completed,9/27/2010,09/20/2010,5663.91, 
69,103 ALMOND DR,2010,ENERGY EFFICIENCY,5,822,Canceled,2/10/2011,09/20/2010,0.0,Energy Efficiency measures were installed to include 11 windows.
70,706 EASTTOWN RD,2010,ENERGY EFFICIENCY,5,823,Completed,3/2/2011,09/20/2010,5220.0, 
71,919 W LINCOLN AVE,2010,ENERGY EFFICIENCY,5,824,Completed,9/30/2010,09/20/2010,5568.4, 
72,2004 COLQUITT AVE,2010,ENERGY EFFICIENCY,5,825,Completed,2/14/2011,09/21/2010,5127.32, 
73,607 FREEMONT ST,2010,ENERGY EFFICIENCY,5,826,Completed,3/4/2011,09/21/2010,1828.66,Energy Efficiency measures were installed to include 3 new exterior doors.
74,2514 WHISPERING PINES RD,2010,ENERGY EFFICIENCY,5,827,Completed,2/14/2011,09/21/2010,5412.0, 
75,1530 E BROAD AVE,2010,ENERGY EFFICIENCY,5,829,Completed,2/2/2011,09/21/2010,5318.41,Energy Efficiency measures were installed to include 19 windows.
76,2230 S WASHINGTON ST,2010,ENERGY EFFICIENCY,5,830,Completed,2/14/2011,09/23/2010,5361.93, 
77,1804 KEYSTONE AVE,2010,EMERGENCY REPAIRS,4,831,Completed,12/9/2010,09/27/2010,5247.0, 
78,1907 GROVELAND RD,2010,EMERGENCY REPAIRS,4,832,Completed,10/28/2010,09/27/2010,4987.17, 
79,1105 JORDAN ST,2010,ENERGY EFFICIENCY,5,833,Completed,4/28/2011,09/28/2010,4676.1,Energy Efficiency measures were installed to includewindows.
80,417 WADKINS AVE,2010,EMERGENCY REPAIRS,4,834,Completed,10/28/2010,09/28/2010,4287.17, 
81,402 BUSH ST,2010,ENERGY EFFICIENCY,5,835,Canceled,2/9/2011,09/28/2010,0.0,Energy Efficiency measures were installed to include 14 windows.
82,412 FULSE DR,2010,EMERGENCY REPAIRS,4,836,Completed,12/2/2010,09/28/2010,5324.0, 
83,416 ROSSER LN,2010,EMERGENCY REPAIRS,4,837,Completed,3/4/2011,09/29/2010,5051.0, 
84,303 INDEPENDENCE DR,2010,EMERGENCY REPAIRS,4,838,Completed,12/16/2010,09/29/2010,3908.41, 
85,2572 CRESCENT DR,2010,EMERGENCY REPAIRS,4,839,Completed,2/8/2011,09/29/2010,5932.16, 
86,2304 JUNIPER DR,2010,ENERGY EFFICIENCY,5,840,Completed,4/28/2011,09/30/2010,5225.0, 
87,2572 CRESCENT DR,2010,EMERGENCY REPAIRS,4,841,Canceled,9/30/2010,09/30/2010,0.0, 
88,2300 TOMPKINS AVE,2010,EMERGENCY REPAIRS,4,842,Canceled,2/9/2011,09/30/2010,0.0, 
89,423 ODOM AVE,2010,EMERGENCY REPAIRS,4,843,Completed,2/2/2011,09/30/2010,5112.0, 
90,903 DORSETT AVE,2010,ENERGY EFFICIENCY,5,845,Completed,4/28/2011,09/30/2010,5499.0, 
91,UNKNOWN ADDRESS,2010,ADMINISTRATION,9,846,Completed,8/24/2011,10/22/2010,500945.39,Management of the CDBG program and provide management and oversight of subrecipients of CDBG-assisted projects and programs.
92,230 S JACKSON ST STE 315,2010,PUBLIC SERVICE,10,847,Completed,8/22/2011,10/22/2010,73778.03,To provide shelter and lifeskills to those families who are homeless.
93,230 S JACKSON ST STE 315,2010,CAPACITY BUILDING FOR NONPROFITS,27,848,Completed,8/15/2011,10/22/2010,35086.92,Provide technical assistance to all subrecipients of public service grant funding for the program year of 2010-2011.
94,230 S JACKSON ST STE 315 SUITE 315,2010,DISPOSITION,11,849,Completed,9/14/2011,10/22/2010,91397.8,The temporary maintenance and readying of CDBG and HOME properties for sale.
95,635 GILBERT LN,2010,ACQUISITION,12,850,Completed,4/11/2013,10/22/2010,91154.32,The acquisition of CDBG andor HOME funded properties financed by the City and or a private lender.
96,314 N JEFFERSON ST,2010,PUBLIC SERVICE,10,851,Completed,8/18/2011,10/25/2010,14000.0, 
97,230 S JACKSON ST,2010,MICROBUSINESS ENTERPRISE CENTER,8,852,Completed,8/1/2011,10/25/2010,361466.62, 
98,420 PINE AVE,2010,PUBLIC SERVICE,10,853,Completed,8/25/2011,10/26/2010,23040.0,Services for runaway and abused teens
99,230 S JACKSON ST,2010,ECONOMIC DEVELOPMENT,14,854,Completed,8/25/2011,10/25/2010,22400.38,To provide training and contracting opportunities to Section 3 certified business concerns and to make jobs available to Section 3 certified residents.
100,230 S JACKSON ST STE 154 SUITE 154,2010,ECONOMIC DEVELOPMENT,14,855,Completed,8/1/2011,01/13/2011,61900.0, 
101,1105 PALMYRA RD,2010,PUBLIC SERVICE,10,856,Completed,9/14/2012,10/26/2010,9997.75,Erection of handicapped ramps for low to moderate income persons
102,701 PARK PL,2010,PUBLIC SERVICE,10,858,Completed,8/24/2011,10/26/2010,22698.32,Afterschool and summer leadership programming for girls.
103,506 PINE AVE,2010,PUBLIC SERVICE,10,861,Completed,8/23/2011,10/26/2010,20000.0, 
104,300 W 3RD AVE,2010,PUBLIC SERVICE,10,862,Completed,8/18/2011,10/26/2010,20000.0,Provides wchild sexual assault prevention workshops that target adults and support groups for non offending caregivers.
105,230 S JACKSON ST STE 315 SUITE 315,2010,HOUSING COUNSELING,15,863,Completed,8/22/2011,10/25/2010,47831.26, 
106,UNKNOWN ADDRESS,2010,SECTION 108 LOANS,16,864,Completed,8/3/2011,11/04/2010,41418.75, 
107,UNKNOWN ADDRESS,2010,SECTION 108 LOANS,16,865,Completed,8/3/2011,11/04/2010,477798.75,THE REPAYMENT OF A SECTION 108 LOAN
108,1914 W HIGHLAND AVE,2010,EMERGENCY REPAIRS,4,866,Completed,3/2/2011,11/09/2010,5495.0, 
